Mã MH	Tên Môn Học	Tên Lớp	Số TC	Sĩ Số	Đã ĐK	Khóa	Lịch Học	Nhóm TH	Nhóm BT	Địa Điểm	
ADD00034	Anh văn 4	23S5_1	3	35	0	2023	T5(1-4)-P.cs2:NĐH6.1	N/A	N/A	LT
ADD00034	Anh văn 4	23S6_1	3	35	0	2023	T6(1-4)-P.cs2:NĐH6.1	N/A	N/A	LT
ADD00034	Anh văn 4	23S7_1	3	35	0	2023	T7(1-4)-P.cs2:NĐH6.1	N/A	N/A	LT
BAA00003	Tư tưởng Hồ Chí Minh	23_1	2	96	0	2023	T2(1-4)-P.cs2:F308	N/A	N/A	LT
BAA00003	Tư tưởng Hồ Chí Minh	23_2	2	96	0	2023	T3(6-9)-P.cs2:F208	N/A	N/A	LT
BAA00003	Tư tưởng Hồ Chí Minh	23_3	2	100	0	2023	T7(6-9)-P.cs2:F207	N/A	N/A	LT
BAA00003	Tư tưởng Hồ Chí Minh	23_4	2	100	0	2023	T2(6-9)-P.cs2:E202	N/A	N/A	LT
BAA00003	Tư tưởng Hồ Chí Minh	23_5	2	100	0	2023	T6(1-4)-P.cs2:E206	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT1	3	100	73	2024	T6(6-9)-P.cs2:D106	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT2	3	100	73	2024	T3(6-9)-P.cs2:E201	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT3	3	100	72	2024	T3(1-4)-P.cs2:E201	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT4	3	100	73	2024	T5(6-9)-P.cs2:E202	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT5	3	96	73	2024	T4(1-4)-P.cs2:F107	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24CTT6	3	80	72	2024	T7(6-9)-P.cs2:E302	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24DCH1	3	80	61	2024	T5(1-4)-P.cs2:E303	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24KTH1	3	100	48	2024	T6(1-4)-P.cs2:D211	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24QMT1	3	104	93	2024	T3(6-9)-P.cs2:E206	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24TNT1	3	120	95	2024	T4(6-9)-P.cs2:F104	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24TTH1	3	100	109	2024	T7(6-9)-P.cs2:D108	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24TTH2	3	100	77	2024	T4(6-9)-P.cs2:D211	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24TTH3	3	96	77	2024	T5(1-4)-P.cs2:F107	N/A	N/A	LT
BAA00004	Pháp luật đại cương	24VYK1	3	100	66	2024	T7(1-4)-P.cs2:D211	N/A	N/A	LT
BAA00005	Kinh tế đại cương	23_1	2	60	0	2023	T3(1-4)-P.cs2:D103	N/A	N/A	LT
BAA00005	Kinh tế đại cương	24_1	2	60	0	2024	T3(1-4)-P.cs2:D103	N/A	N/A	LT
BAA00005	Kinh tế đại cương	24_2	2	120	0	2024	T7(1-4)-P.cs2:D103	N/A	N/A	LT
BAA00005	Kinh tế đại cương	24DCH1	2	120	61	2024	T7(6-9)-P.cs2:D103	N/A	N/A	LT
BAA00006	Tâm lý đại cương	23_1	2	60	0	2023	T7(1-2.5)-P.cs2:E202	N/A	N/A	LT
BAA00006	Tâm lý đại cương	24_1	2	60	0	2024	T7(1-2.5)-P.cs2:E202	N/A	N/A	LT
BAA00006	Tâm lý đại cương	24_2	2	120	0	2024	T7(3.5-5)-P.cs2:E202	N/A	N/A	LT
BAA00006	Tâm lý đại cương	24_3	2	120	0	2024	T6(1-2.5)-P.cs2:D108	N/A	N/A	LT
BAA00006	Tâm lý đại cương	24_4	2	120	0	2024	T6(3.5-5)-P.cs2:D108	N/A	N/A	LT
BAA00007	Phương pháp luận sáng tạo	23_2	2	60	0	2023	T7(1-2.5)-P.cs2:F205	N/A	N/A	LT
BAA00007	Phương pháp luận sáng tạo	24_1	2	120	0	2024	T7(3.5-5)-P.cs2:F205	N/A	N/A	LT
BAA00007	Phương pháp luận sáng tạo	24_2	2	60	0	2024	T7(1-2.5)-P.cs2:F205	N/A	N/A	LT
BAA00022	Thể dục 2	24AE_T3Ti3	2	40	0	2024	T3(3-5)-P.cs2:KHTN8	N/A	N/A	LT
BAA00022	Thể dục 2	24AE_T3Ti8	2	40	0	2024	T3(8-10)-P.cs2:KHTN8	N/A	N/A	LT
BAA00022	Thể dục 2	24AE_T6Ti3	2	40	0	2024	T6(3-5)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T2Ti1	2	40	0	2024	T2(1-3)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T2Ti3	2	40	0	2024	T2(3-5)-P.cs2:KHTN8	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T4Ti8	2	40	0	2024	T4(8-10)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T5Ti1	2	40	0	2024	T5(1-3)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T5Ti3	2	40	0	2024	T5(3-5)-P.cs2:KHTN6	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T6Ti3	2	40	0	2024	T6(3-5)-P.cs2:KHTN6	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T2T3	2	40	0	2024	T2(3-5)-P.cs2:KHTN7	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T2Ti1	2	40	0	2024	T2(1-3)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T2Ti3	2	40	0	2024	T2(3-5)-P.cs2:KHTN6	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T2Ti8	2	40	0	2024	T2(8-10)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T3Ti3	2	40	0	2024	T3(3-5)-P.cs2:KHTN6	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T3Ti8	2	40	0	2024	T3(8-10)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T4Ti1	2	40	0	2024	T4(1-3)-P.cs2:KHTN7	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T4Ti3	2	40	0	2024	T4(3-5)-P.cs2:KHTN6	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T4Ti8	2	40	0	2024	T4(8-10)-P.cs2:KHTN4	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T5Ti3	2	40	0	2024	T5(3-5)-P.cs2:KHTN5	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T5Ti8	2	40	0	2024	T5(8-10)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T2Ti8	2	40	0	2024	T2(8-10)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T3Ti1	2	40	0	2024	T3(1-3)-P.cs2:KHTN4	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T3Ti3	2	40	0	2024	T3(3-5)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T3Ti8	2	40	0	2024	T3(8-10)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T4Ti1	2	40	0	2024	T4(1-3)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T4Ti3	2	40	0	2024	T4(3-5)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T4Ti8	2	40	0	2024	T4(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T5Ti1	2	40	0	2024	T5(1-3)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T5Ti3	2	40	0	2024	T5(3-5)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T5Ti8	2	40	0	2024	T5(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T6Ti1	2	40	0	2024	T6(1-3)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BC_T6Ti8	2	40	0	2024	T6(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T2Ti1	2	40	0	2024	T2(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T2Ti3	2	40	0	2024	T2(3-5)-P.cs2:KHTN9	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T2Ti8	2	40	0	2024	T2(8-10)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T3Ti1	2	40	0	2024	T3(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T4Ti1	2	40	0	2024	T4(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T4Ti3	2	40	0	2024	T4(3-5)-P.cs2:KHTN8	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T4Ti8	2	40	0	2024	T4(8-10)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T5Ti1	2	40	0	2024	T5(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T6Ti1	2	40	0	2024	T6(1-3)-P.cs2:KHTN7	N/A	N/A	LT
BAA00022	Thể dục 2	24BD_T6Ti8	2	40	0	2024	T6(8-10)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BL_T3Ti1	2	38	0	2024	T3(1-3)-P.cs2:TT_TDTT1	N/A	N/A	LT
BAA00022	Thể dục 2	24BL_T5Ti1	2	38	0	2024	T5(1-3)-P.cs2:TT_TDTT1	N/A	N/A	LT
BAA00022	Thể dục 2	24BL_T5Ti8	2	38	0	2024	T5(8-10)-P.cs2:TT_TDTT3	N/A	N/A	LT
BAA00022	Thể dục 2	24BL_T6Ti1	2	38	0	2024	T6(1-3)-P.cs2:TT_TDTT1	N/A	N/A	LT
BAA00022	Thể dục 2	24BL_T6Ti8	2	38	0	2024	T6(8-10)-P.cs2:TT_TDTT1	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T2Ti1	2	40	0	2024	T2(1-3)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T2Ti8	2	40	0	2024	T2(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T3Ti1	2	40	0	2024	T3(1-3)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24BR_T4Ti1	2	40	0	2024	T4(1-3)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T6Ti1	2	40	0	2024	T6(1-3)-P.cs2:KHTN3	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T6Ti3	2	40	0	2024	T6(3-5)-P.cs2:KHTN5	N/A	N/A	LT
BAA00022	Thể dục 2	24CL_T6Ti8	2	40	0	2024	T6(8-10)-P.cs2:KHTN1	N/A	N/A	LT
BAA00022	Thể dục 2	24CV_T7Ti7	2	30	0	2024	T7(7-10)-P.cs2:A2.409-DHQu	N/A	N/A	LT
BAA00022	Thể dục 2	24PB_T2Ti1	2	40	0	2024	T2(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24PB_T3Ti1	2	40	0	2024	T3(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24PB_T4Ti8	2	40	0	2024	T4(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24PB_T5Ti1	2	40	0	2024	T5(1-3)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24PB_T6Ti8	2	40	0	2024	T6(8-10)-P.cs2:KHTN10	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T2Ti8	2	40	0	2024	T2(8-10)-P.cs2:KHTN4	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T3Ti8	2	40	0	2024	T3(8-10)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T4Ti3	2	40	0	2024	T4(3-5)-P.cs2:KHTN5	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T5Ti3	2	40	0	2024	T5(3-5)-P.cs2:KHTN7	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T5Ti8	2	40	0	2024	T5(8-10)-P.cs2:KHTN2	N/A	N/A	LT
BAA00022	Thể dục 2	24VT_T6Ti3	2	40	0	2024	T6(3-5)-P.cs2:KHTN8	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	23_1	3	96	0	2023	T3(6-10)-P.cs2:F201	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24CVL1	3	96	59	2024	T4(1-5)-P.cs2:F208	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24CVL2	3	100	57	2024	T7(6-10)-P.cs2:D106	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24HDH1	3	96	54	2024	T2(6-10)-P.cs2:F208	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24HOH1	3	100	80	2024	T4(6-10)-P.cs2:D212	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24HOH1TN	3	100	68	2024	T5(6-10)-P.cs2:F205	N/A	N/A	LT
