Viet	Unicode Hex	VNI	VNI Hex	VPS	VPS Hex	VISCII	VISCII Hex	TCVN3	TCVN3 Hex	VIQR	English Name
Ũ	U+000168	UÕ	55 D5	¬	AC		9D	Uò	55 F2	U~	LATIN CAPITAL LETTER U WITH TILDE
ũ	U+000169	uõ	75 F5	Û	DB	û	FB	ò	F2	u~	LATIN SMALL LETTER U WITH TILDE
Ư	U+0001AF	Ö	D6	Ð	D0	¿	BF	¦	A6	U+00	LATIN CAPITAL LETTER U WITH HORN
ư	U+0001B0	ö	F6	Ü	DC	ß	DF	­	AD	U+00	LATIN SMALL LETTER U WITH HORN
Ứ	U+001EE8	ÖÙ	D6 D9	­	AD	º	BA	¦ø	A6 F8	U+00'	LATIN CAPITAL LETTER U WITH HORN AND ACUTE
ứ	U+001EE9	öù	F6 F9	Ù	D9	Ñ	D1	ø	F8	U+00'	LATIN SMALL LETTER U WITH HORN AND ACUTE
Ự	U+001EF0	ÖÏ	D6 CF		15	¹	B9	¦ù	A6 F9	U+00.	LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
ự	U+001EF1	öï	F6 EF	¿	BF	ñ	F1	ù	F9	U+00.	LATIN SMALL LETTER U WITH HORN AND DOT BELOW
Ử	U+001EEC	ÖÛ	D6 DB	±	B1	¼	BC	¦ö	A6 F6	U+00?	LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
ử	U+001EED	öû	F6 FB	º	BA	Ø	D8	ö	F6	U+00?	LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
Ừ	U+001EEA	ÖØ	D6 D8	¯	AF	»	BB	¦õ	A6 F5	U+00`	LATIN CAPITAL LETTER U WITH HORN AND GRAVE
ừ	U+001EEB	öø	F6 F8	Ø	D8	×	D7	õ	F5	U+00`	LATIN SMALL LETTER U WITH HORN AND GRAVE
Ữ	U+001EEE	ÖÕ	D6 D5	---	1D	ÿ	FF	¦÷	A6 F7	U+00~	LATIN CAPITAL LETTER U WITH HORN AND TILDE
ữ	U+001EEF	öõ	F6 F5	»	BB	æ	E6	÷	F7	U+00~	LATIN SMALL LETTER U WITH HORN AND TILDE
Ý	U+0000DD	YÙ	59 D9	Ý	DD	Ý	DD	Yý	59 FD	Y'	LATIN CAPITAL LETTER Y WITH ACUTE
ý	U+0000FD	yù	79 F9	š	9A	ý	FD	ý	FD	y'	LATIN SMALL LETTER Y WITH ACUTE
Ỵ	U+001EF4	Î	CE	---	19	‑	1E	Yþ	59 FE	Y.	LATIN CAPITAL LETTER Y WITH DOT BELOW
ỵ	U+001EF5	î	EE	œ	9C	Ü	DC	þ	FE	y.	LATIN SMALL LETTER Y WITH DOT BELOW
Ỷ	U+001EF6	YÛ	59 DB	ý	FD		14	Yû	59 FB	Y?	LATIN CAPITAL LETTER Y WITH HOOK ABOVE
ỷ	U+001EF7	yû	79 FB	›	9B	Ö	D6	û	FB	y?	LATIN SMALL LETTER Y WITH HOOK ABOVE
Ỳ	U+001EF2	YØ	59 D8	²	B2	Ÿ	9F	Yú	59 FA	Y`	LATIN CAPITAL LETTER Y WITH GRAVE
ỳ	U+001EF3	yø	79 F8	ÿ	FF	Ï	CF	ú	FA	y`	LATIN SMALL LETTER Y WITH GRAVE
Ỹ	U+001EF8	YÕ	59 D5	³	B3	---	19	Yü	59 FC	Y~	LATIN CAPITAL LETTER Y WITH TILDE
ỹ	U+001EF9	yõ	79 F5	Ï	CF	Û	DB	ü	FC	y~	LATIN SMALL LETTER Y WITH TILDE
